Feature_ID,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,Price_ID
1,Apartment,Entire home/apt,2,2,4,130,1
2,Apartment,Private room,1,1,3,59,2
3,Apartment,Entire home/apt,1,1,3,95,3
4,Apartment,Entire home/apt,1,1,2,100,4
5,Apartment,Entire home/apt,1,2,2,250,5
6,Apartment,Private room,1,1,2,140,6
7,Apartment,Private room,1,1,1,115,7
8,House,Private room,1,1,3,80,8
9,Apartment,Private room,1,1,6,80,9
10,House,Entire home/apt,1,1,3,90,10
11,House,Entire home/apt,1,1,3,90,11
12,Apartment,Entire home/apt,1.5,2,7,100,12
13,Apartment,Entire home/apt,1,2,3,95,13
14,Apartment,Entire home/apt,1,1,3,145,14
15,Apartment,Entire home/apt,1.5,1,4,132,15
16,Apartment,Entire home/apt,1,1,1,79,16
17,Apartment,Entire home/apt,1,0,2,180,17
18,Loft,Shared room,1,1,1,75,18
19,Apartment,Private room,1,1,2,82,19
20,Apartment,Private room,1,1,1,59,20
21,Apartment,Entire home/apt,1,1,7,99,21
22,Apartment,Entire home/apt,1,1,1,190,22
23,Apartment,Entire home/apt,1,1,5,110,23
24,Apartment,Entire home/apt,1,1,14,100,24
25,Apartment,Private room,1.5,1,2,35,25
26,Apartment,Private room,,1,2,43,26
27,House,Private room,1,1,1,50,27
28,House,Private room,4,1,1,50,28
29,Apartment,Entire home/apt,1,1,3,69,29
30,Apartment,Entire home/apt,1,1,3,69,30
31,Apartment,Entire home/apt,1,1,2,80,31
32,Apartment,Entire home/apt,1.5,1,2,80,32
33,House,Private room,1,1,2,110,33
34,House,Entire home/apt,2,1,2,350,34
35,Apartment,Entire home/apt,1,1,3,110,35
36,Apartment,Private room,1,1,4,74,36
37,Apartment,Entire home/apt,1,2,3,250,37
38,Apartment,Entire home/apt,1.5,4,3,200,38
39,Boat,Entire home/apt,1,2,3,180,39
40,Boat,Entire home/apt,1,2,3,200,40
41,Apartment,Entire home/apt,2,2,3,160,41
42,Apartment,Entire home/apt,2,2,3,200,42
43,Apartment,Entire home/apt,1.5,2,3,160,43
44,Boat,Entire home/apt,1,2,3,120,44
45,Apartment,Entire home/apt,1.5,2,3,120,45
