Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
1,1,304958,130,Westerpark,Apartment,2,2,4
2,2,2818,59,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,3
3,3,103026,95,De Baarsjes - Oud-West,Apartment,1,1,3
4,4,550017,100,Centrum-Oost,Apartment,1,1,2
5,5,4728389,250,Centrum-West,Apartment,1,2,2
6,6,5500954,140,Centrum-West,Apartment,1,1,2
7,7,5181918,115,Centrum-West,Apartment,1,1,1
8,8,2774924,80,Zuid,House,1,1,3
9,9,23651,80,De Pijp - Rivierenbuurt,Apartment,1,1,6
10,10,738245,90,Centrum-West,House,1,1,3
11,11,738246,90,Centrum-West,House,1,1,3
12,12,51969,100,De Pijp - Rivierenbuurt,Apartment,1.5,2,7
13,13,8061,95,De Baarsjes - Oud-West,Apartment,1,2,3
14,14,98558,145,Centrum-Oost,Apartment,1,1,3
15,15,9693,132,Centrum-West,Apartment,1.5,1,4
16,16,2323819,79,Bos en Lommer,Apartment,1,1,1
17,17,280105,180,Centrum-West,Apartment,1,0,2
18,18,3527892,75,Centrum-West,Loft,1,1,1
19,19,933385,82,De Baarsjes - Oud-West,Apartment,1,1,2
20,20,1182306,59,Zuid,Apartment,1,1,1
21,21,3047061,99,Watergraafsmeer,Apartment,1,1,7
22,22,4003922,190,Centrum-Oost,Apartment,1,1,1
23,23,1003865,110,De Baarsjes - Oud-West,Apartment,1,1,5
24,24,25428,100,Centrum-West,Apartment,1,1,14
25,25,75583,35,Slotervaart,Apartment,1.5,1,2
26,26,15061,43,Westerpark,Apartment,,1,2
27,27,20168,50,Centrum-Oost,House,1,1,1
28,28,3903880,50,Centrum-Oost,House,4,1,1
29,29,1030014,69,Centrum-West,Apartment,1,1,3
30,30,1030015,69,Centrum-West,Apartment,1,1,3
31,31,43980,80,Zuid,Apartment,1,1,2
32,32,85767,80,Centrum-West,Apartment,1.5,1,2
33,33,5728108,110,Oostelijk Havengebied - Indische Buurt,House,1,1,2
34,34,129744,350,Oostelijk Havengebied - Indische Buurt,House,2,1,2
35,35,3739250,110,Centrum-Oost,Apartment,1,1,3
36,36,3261215,74,Centrum-West,Apartment,1,1,4
37,37,2820641,250,Centrum-West,Apartment,1,2,3
38,38,3302169,200,Centrum-West,Apartment,1.5,4,3
39,39,1756765,180,De Baarsjes - Oud-West,Boat,1,2,3
40,40,743666,200,De Baarsjes - Oud-West,Boat,1,2,3
41,41,468132,160,De Pijp - Rivierenbuurt,Apartment,2,2,3
42,42,822614,200,De Pijp - Rivierenbuurt,Apartment,2,2,3
43,43,2396344,160,Oud-Oost,Apartment,1.5,2,3
44,44,5275545,120,De Baarsjes - Oud-West,Boat,1,2,3
45,45,857794,120,Centrum-Oost,Apartment,1.5,2,3
46,46,5234498,120,De Baarsjes - Oud-West,Boat,1,1,3
47,47,236632,100,De Pijp - Rivierenbuurt,Apartment,1,1,4
48,48,999908,75,Oud-Oost,Apartment,1,1,5
49,49,2821480,140,Centrum-West,Apartment,1,1,3
50,50,3414536,160,Westerpark,Boat,1,1,3
51,51,2821284,120,Centrum-West,Apartment,1,1,3
52,52,20818,80,Centrum-Oost,Apartment,1,1,2
53,53,4069573,206,De Pijp - Rivierenbuurt,Boat,2,5,3
54,54,948808,140,De Pijp - Rivierenbuurt,Boat,1,2,3
55,55,4374110,200,Westerpark,Boat,1,2,3
56,56,2436846,227,Centrum-West,Boat,2,2,3
57,57,539036,140,Centrum-Oost,Boat,1,2,3
